PT_NM,WMYR,WMOD,WMWK,ITEM_PH,ITEM_BOD,ITEM_COD,ITEM_TOC,ITEM_SS,ITEM_DOC,ITEM_TP,ITEM_TCOLI,ITEM_ECOLI,drink
예당지1,2019,9,15,9.1,2.3,9.4,4.6,,8.6,,,,0
계산,2019,9,3회차,7.1,1.3,3.6,3.0,,9.0,,,,1
신답,2019,8,1회차,8.2,1.0,2.6,1.7,,8.5,,,,1
공릉천-2,2019,8,3회차,8.7,1.6,3.4,1.8,,9.5,,,,0
금강,2019,8,4회차,8.6,4.6,8.8,6.1,,12.3,,,,0
논산천4,2019,8,3회차,7.5,4.7,9.5,5.9,,9.1,,,,0
김제,2019,8,3회차,7.3,5.4,11.7,7.6,,6.3,,,,0
영산천,2019,8,4회차,7.1,1.4,6.6,5.6,,8.2,,,,1
소양강댐5,2019,8,13,8.5,1.3,2.3,2.1,,6.5,,,,1
안동댐2,2019,8,15,7.5,1.4,3.1,2.2,,4.9,,,,1
경안천5A,2019,8,3회차,8.1,1.6,5.0,3.3,,8.0,,,,1
임진강1A,2019,8,4회차,7.9,0.6,3.1,1.4,,8.6,,,,1
세종2,2019,8,4회차,8.0,2.2,6.8,4.3,,8.4,,,,0
석성천2,2019,8,3회차,7.4,1.7,7.3,4.5,,6.9,,,,1
영덕천,2019,8,1회차,8.0,0.6,4.0,1.6,,8.2,,,,1
대청댐4,2019,8,11,7.3,1.6,3.2,2.6,,8.9,,,,1
영덕송천,2019,8,1회차,7.1,1.1,7.0,4.1,,7.3,,,,1
차탄천,2019,8,1회차,7.7,0.6,3.1,1.0,,8.0,,,,1
남강천,2019,8,1회차,8.5,2.0,3.8,2.1,,9.1,,,,1
람천2,2019,8,1회차,8.3,1.3,2.0,2.0,,8.1,,,,1
운암,2019,8,1회차,8.2,1.0,2.8,2.1,,8.8,,,,1
노성천-1,2019,8,1회차,8.4,2.3,6.3,3.9,,15.6,,,,0
천안천3,2019,8,3회차,7.0,6.3,9.2,6.0,,6.7,,,,0
곡교천2,2019,8,2회차,7.7,4.6,8.5,7.3,,6.5,,,,0
남강2,2019,9,1회차,7.7,3.1,6.6,4.0,,7.2,,,,0
중랑천-1,2019,8,3회차,7.9,1.6,4.1,1.9,,9.6,,,,1
창릉천-1,2019,8,1회차,8.3,0.4,2.8,1.5,,8.2,,,,1
창릉천-2,2019,8,1회차,8.3,0.4,2.6,1.7,,7.2,,,,1
창릉천-2,2019,8,2회차,8.2,0.7,2.8,2.6,,7.2,,,,1
신천2-1,2019,8,5회차,8.6,3.4,9.4,4.5,,8.0,,,,0
문산천,2019,8,4회차,8.5,1.1,4.3,1.3,,7.1,,,,1
황지1,2019,8,1회차,8.5,0.8,1.5,1.5,,8.2,,,,1
사직,2019,8,1회차,8.5,0.9,6.9,2.2,,10.6,,,,1
서곡천,2019,8,1회차,7.6,1.2,4.9,4.7,,8.1,,,,1
원주천1,2019,8,1회차,7.6,0.7,4.9,4.2,,8.3,,,,1
의암댐,2019,8,2회차,8.5,1.6,2.5,2.6,,10.5,,,,1
내성천1,2019,8,1회차,7.7,0.5,4.0,2.0,,6.4,,,,1
보현산댐,2019,8,13,7.2,1.5,7.5,4.4,,5.5,,,,1
강천,2019,8,2회차,8.1,0.9,4.3,2.6,,8.2,,,,1
곡정천,2019,8,2회차,7.4,0.5,6.8,5.7,,8.3,,,,1
부기천,2019,8,2회차,8.0,0.4,7.6,6.2,,7.9,,,,1
용수천-1,2019,8,1회차,7.3,0.9,4.1,2.0,,7.9,,,,1
대교천2,2019,8,1회차,7.4,1.2,4.8,2.7,,9.3,,,,1
우치,2019,8,1회차,7.3,3.3,6.9,6.3,,8.9,,,,0
"광산(영본B, 용봉)",2019,8,1회차,7.7,4.6,10.0,5.9,,8.6,,,,0
죽산,2019,8,3회차,8.1,4.0,8.6,9.8,,8.3,,,,0
C중흥천,2019,8,1회차,8.4,0.3,4.5,3.1,,9.1,,,,1
가곡,2019,8,1회차,8.7,0.8,2.9,2.6,,9.5,,,,0
간성북천,2019,8,1회차,8.6,1.2,3.5,2.0,,8.9,,,,0
광포호,2019,8,1회차,8.3,3.7,6.8,7.3,,9.4,,,,0
달천3,2019,8,1회차,8.9,2.2,3.1,3.1,,10.3,,,,0
달천4,2019,8,3회차,9.2,0.9,3.3,4.1,,15.3,,,,0
홍천강6,2019,8,3회차,8.3,0.6,2.8,1.6,,8.2,,,,1
옥동천2,2019,8,4회차,8.3,0.5,2.3,1.0,,8.8,,,,1
달천5,2019,8,2회차,8.1,1.3,4.7,2.3,,8.6,,,,1
달천5,2019,8,3회차,8.8,2.5,5.9,3.1,,12.3,,,,0
원주,2019,8,2회차,8.6,1.7,5.8,2.4,,9.9,,,,0
청원-1,2019,8,3회차,7.3,1.6,5.8,3.7,,8.6,,,,1
장성댐2,2018,1,13,7.7,0.8,3.8,2.4,,13.2,,,,1
도남,2019,8,1회차,7.9,2.0,4.7,3.4,,7.1,,,,1
주암댐1,2019,9,31,7.4,1.1,4.1,2.4,,7.3,,,,1
물금,2019,8,2회차,8.4,2.6,7.0,4.1,,8.0,,,,0
유등천4,2019,8,1회차,7.6,2.4,5.4,2.7,,7.6,,,,0
횡성댐2,2019,8,11,8.2,2.6,3.1,2.7,,10.4,,,,0
횡성댐3,2019,8,11,8.2,2.6,3.4,2.8,,9.8,,,,0
군위댐1,2019,8,13,7.2,0.8,7.1,5.0,,5.2,,,,1
섬진강댐1,2019,8,11,7.4,1.9,2.9,2.8,,8.8,,,,1
C용호천,2019,8,2회차,7.3,3.1,8.8,2.6,,6.6,,,,0
C달서천,2019,8,1회차,7.4,1.4,9.4,4.1,,6.8,,,,1
대천천,2019,8,1회차,6.4,0.8,1.6,0.9,,8.3,,,,0
학장천3,2018,1,1회차,7.7,5.0,6.4,2.7,,12.6,,,,0
탑천,2019,8,4회차,7.2,2.4,7.3,5.5,,5.6,,,,0
원평천3,2019,8,1회차,8.0,3.1,8.5,5.0,,7.0,,,,0
C석암천,2019,8,1회차,7.5,3.5,11.1,4.9,,4.3,,,,0
C정읍천,2019,8,1회차,7.7,3.4,6.8,5.0,,7.6,,,,0
덕은리,2019,8,3회차,8.4,0.9,2.8,,,10.7,,,,1
의암댐1,2019,8,33,8.4,1.4,3.1,2.7,,10.2,,,,1
의암댐1,2019,8,35,9.0,1.1,2.2,2.8,,10.1,,,,0
덕은,2019,8,1회차,7.6,0.9,4.4,3.0,,6.4,,,,1
돌산천,2019,8,1회차,8.7,0.6,3.7,2.6,,9.2,,,,0
무안1,2019,8,4회차,7.3,4.6,8.9,5.1,,8.0,,,,0
순천동천1,2019,8,1회차,7.3,0.9,5.2,3.6,,7.5,,,,1
영산포,2019,8,3회차,9.0,4.7,10.8,7.7,,13.4,,,,0
영산호1,2019,8,13,7.3,0.8,6.3,4.5,,5.8,,,,1
충주댐1,2019,8,23,7.8,1.3,2.0,2.3,,6.2,,,,1
구산천,2019,8,3회차,6.5,0.8,3.8,2.3,,8.4,,,,1
삼포천1,2019,8,1회차,6.8,4.3,12.7,10.1,,6.9,,,,0
노성천,2019,8,1회차,8.3,2.9,4.9,3.0,,8.7,,,,0
가창댐1,2019,8,1회차,8.4,1.6,4.2,2.2,,8.6,,,,1
이동지2,2019,8,1회차,9.3,3.0,8.2,3.8,,12.1,,,,0
위천1,2019,8,1회차,8.3,0.7,4.0,2.7,,8.4,,,,1
곡수천,2019,8,2회차,7.9,0.8,5.3,,,7.3,,,,1
여주1,2019,8,2회차,8.0,0.8,4.2,2.3,,9.6,,,,1
사미천,2019,8,3회차,9.0,0.4,2.0,0.5,,8.0,,,,0
팔당댐4,2019,8,33,7.9,2.5,5.4,2.8,,10.4,,,,0
팔당댐4,2019,8,41,8.8,1.9,5.5,2.8,,14.6,,,,0
대천천,2019,8,1회차,8.5,3.1,5.2,3.3,,11.3,,,,0
대청댐2,2019,8,13,6.3,1.0,2.1,2.1,,7.3,,,,0
주암댐1,2019,8,25,6.8,1.7,4.2,3.2,,0.9,,,,1
보성,2019,8,3회차,7.6,2.6,5.8,5.5,,9.6,,,,0
대강,2019,8,4회차,7.3,1.4,6.9,6.1,,8.3,,,,1
이사천1-1,2019,8,1회차,7.4,0.6,3.4,2.4,,9.4,,,,1
덕천강3,2019,8,1회차,7.6,0.7,1.9,1.1,,8.0,,,,1
덕천강3,2019,8,2회차,8.0,0.7,1.9,1.1,,8.6,,,,1
곡수천-1,2019,8,4회차,8.5,1.5,6.0,2.3,,5.5,,,,1
미호천3,2019,8,1회차,9.3,8.8,11.4,5.1,,14.5,,,,0
함평천3,2019,8,1회차,7.0,4.2,9.1,8.3,,6.0,,,,0
섬강2,2019,8,4회차,7.8,0.9,3.8,2.0,,7.9,,,,1
경안천5,2019,8,4회차,8.9,4.0,7.8,2.9,,12.5,,,,0
함안,2019,8,4회차,8.0,2.8,7.4,5.4,,8.6,,,,0
구의,2019,8,3회차,8.3,1.9,5.1,2.4,,9.4,,,,1
탄천4,2019,8,2회차,7.7,0.8,4.3,2.6,,7.8,,,,1
미호천7,2019,8,1회차,7.4,1.7,7.1,3.9,,8.6,,,,1
당진천-1,2019,8,1회차,8.1,1.2,6.0,3.9,,7.9,,,,1
대호1,2019,8,15,8.3,4.6,18.9,8.2,,5.6,,,,0
예당지1,2019,8,15,8.1,4.0,8.4,4.4,,3.5,,,,0
공릉천3,2019,8,2회차,7.0,2.2,6.9,3.7,,5.7,,,,0
영평천3,2019,8,3회차,7.2,1.0,3.9,2.1,,11.2,,,,1
청평,2019,8,3회차,8.6,2.2,4.9,3.4,,11.9,,,,0
단성,2019,8,2회차,7.8,1.0,3.8,2.2,,9.0,,,,1
제천천2A,2019,8,2회차,8.9,0.7,3.4,1.8,,9.7,,,,0
경안천3A,2019,8,2회차,7.8,2.0,5.8,3.2,,7.6,,,,1
경안천5A,2019,8,1회차,8.8,0.8,5.1,2.6,,11.6,,,,0
세종2,2019,8,3회차,8.4,3.5,7.5,4.8,,11.5,,,,0
정읍천4,2019,8,1회차,7.5,4.4,8.7,6.1,,7.3,,,,0
동진강2,2019,8,1회차,8.3,2.6,9.0,4.5,,9.2,,,,0
경천지2,2019,8,15,8.4,0.8,3.9,2.2,,3.0,,,,1
부안댐1,2019,8,13,6.5,1.0,3.7,2.2,,7.6,,,,1
상곡천,2019,8,3회차,7.5,0.9,2.4,1.3,,7.2,,,,1
추풍천,2019,8,1회차,7.7,1.2,4.9,2.5,,9.3,,,,1
목행대교,2019,8,4회차,7.8,0.6,2.5,,,9.1,,,,1
영월2,2019,8,1회차,8.8,0.9,2.5,2.8,,10.0,,,,0
의암댐1,2019,8,41,8.6,1.0,3.9,3.6,,11.2,,,,0
군외천,2019,8,1회차,8.1,0.3,3.6,2.2,,8.0,,,,1
나주댐2,2019,8,13,7.3,0.5,5.8,3.5,,4.8,,,,1
부리,2019,8,4회차,7.7,0.6,4.1,2.3,,8.8,,,,1
충주조정지댐1,2019,8,15,9.0,2.1,5.2,3.3,,12.0,,,,0
무갑천,2019,8,4회차,8.1,7.4,7.3,4.0,,7.7,,,,0
담양댐1,2019,8,15,7.6,0.5,2.8,1.7,,6.1,,,,1
보성강댐1,2019,8,11,8.3,2.1,5.4,2.9,,9.8,,,,0
보성천,2019,8,1회차,7.7,0.3,3.1,2.4,,7.5,,,,1
보성천-1,2019,8,4회차,8.2,0.3,3.6,2.6,,11.1,,,,1
산동,2019,8,1회차,8.8,4.0,8.7,5.2,,10.0,,,,0
영산호1,2019,8,15,7.3,0.8,6.6,4.1,,5.0,,,,1
C상남리수로-2,2019,8,1회차,7.5,0.9,4.0,2.8,,7.6,,,,1
김화남대천,2019,8,1회차,7.8,0.9,2.3,2.5,,9.2,,,,1
문산천,2019,8,1회차,7.5,1.1,2.7,1.7,,6.0,,,,1
석남천,2019,8,1회차,7.6,5.2,7.2,3.3,,9.7,,,,0
팔당댐3,2019,8,15,8.6,1.6,5.0,2.8,,6.1,,,,0
온천천,2019,8,1회차,8.0,1.5,8.2,4.8,,9.5,,,,1
영주서천2,2019,8,1회차,7.9,1.3,4.4,1.3,,6.6,,,,1
소양강댐3,2019,8,15,7.2,0.5,3.0,2.1,,6.1,,,,1
석남천,2019,8,3회차,7.4,3.2,7.4,4.9,,8.8,,,,0
삼봉리,2019,8,4회차,9.0,1.6,5.0,2.5,,10.4,,,,0
강상,2019,8,4회차,8.1,0.8,3.9,2.1,,8.3,,,,1
남강4-1,2019,8,2회차,9.0,3.3,6.3,4.3,,10.4,,,,0
금곡,2019,8,1회차,8.8,1.9,7.0,4.8,,8.2,,,,0
금곡,2019,8,2회차,8.4,4.5,9.9,6.6,,9.3,,,,0
백천-1,2019,8,1회차,7.4,2.1,21.4,12.5,,8.5,,,,0
동진강3,2019,8,3회차,7.3,5.0,22.9,8.0,,8.1,,,,0
관촌,2019,8,2회차,6.9,0.7,3.4,3.4,,6.8,,,,1
임실,2019,8,2회차,7.1,0.8,5.0,4.5,,6.9,,,,1
주암댐1,2019,8,13,6.6,0.7,3.4,3.1,,3.1,,,,1
주암댐1,2019,8,31,8.6,1.5,4.5,3.9,,7.5,,,,0
주암댐1,2019,8,45,7.0,0.9,3.3,3.2,,0.8,,,,1
대가천1,2019,8,1회차,7.3,0.5,2.4,1.5,,8.5,,,,1
대가천2,2019,8,2회차,7.3,0.5,3.2,2.4,,8.3,,,,1
금사천,2019,8,4회차,8.7,0.6,3.3,1.2,,7.1,,,,0
흑천1-1,2019,8,3회차,8.3,0.7,2.3,1.6,,8.5,,,,1
유등천A,2019,8,3회차,8.0,0.7,3.0,1.5,,10.2,,,,1
만봉천,2019,8,4회차,7.3,1.4,5.9,5.9,,7.8,,,,1
C중방천,2019,8,1회차,8.0,1.2,6.9,5.1,,7.6,,,,1
C풍영정천,2019,8,1회차,7.6,0.4,6.0,3.7,,6.5,,,,1
나주댐2,2018,1,11,7.4,1.1,3.9,2.8,,15.8,,,,1
지석천1A,2019,8,3회차,7.2,1.9,5.6,5.6,,8.1,,,,1
목사동,2019,8,4회차,7.3,1.2,4.0,3.7,,8.5,,,,1
고사,2019,8,1회차,8.5,2.2,2.3,2.3,,9.4,,,,0
달천4,2019,8,4회차,7.6,0.7,2.4,3.0,,11.5,,,,1
목면,2019,3,1회차,7.6,3.4,7.7,4.9,,13.4,,,,0
목면,2019,3,3회차,8.7,5.1,9.6,6.4,,16.4,,,,0
부여,2019,3,1회차,8.4,3.0,7.8,4.9,,15.0,,,,0
정동,2019,3,4회차,8.7,5.2,9.1,6.3,,13.4,,,,0
지석천4,2019,3,2회차,7.5,4.1,8.5,6.4,,12.4,,,,0
광주천2,2019,3,4회차,7.6,7.9,11.0,8.3,,10.1,,,,0
주암댐1,2019,3,45,7.5,0.5,3.3,1.9,,10.5,,,,1
황룡강2A,2019,3,1회차,7.8,2.5,5.0,3.8,,11.8,,,,0
논산천-1,2019,3,1회차,7.6,0.3,1.7,1.0,,10.7,,,,1
연산천,2019,3,2회차,7.7,0.6,2.7,1.5,,13.1,,,,1
논산천4,2019,3,3회차,7.8,5.0,8.7,5.4,,12.9,,,,0
강경,2019,3,1회차,8.1,3.8,7.8,4.9,,14.1,,,,0
길산천2,2019,3,2회차,8.6,3.7,10.0,6.6,,14.6,,,,0
길산천2,2019,3,4회차,8.9,5.6,12.1,8.4,,14.2,,,,0
곡교천2,2019,3,1회차,7.3,6.2,10.3,7.2,,8.6,,,,0
전주천6,2019,3,2회차,7.2,5.3,16.2,10.5,,8.4,,,,0
우동천,2019,3,1회차,8.1,0.6,2.4,1.2,,11.8,,,,1
용호천,2019,3,1회차,8.1,2.1,7.0,3.3,,11.8,,,,0
창녕,2019,3,2회차,8.7,2.7,8.8,4.1,,14.0,,,,0
하남,2019,3,1회차,9.2,3.4,8.6,3.1,,15.1,,,,0
하남,2019,3,4회차,8.7,1.7,6.9,3.1,,13.2,,,,0
회야강3,2019,3,1회차,8.5,2.4,8.4,4.1,,10.4,,,,0
진전천,2019,3,1회차,7.8,0.2,1.5,0.7,,11.2,,,,1
C남천,2019,3,2회차,8.3,1.7,6.9,2.4,,12.1,,,,1
계성천,2019,3,4회차,8.5,5.0,8.1,,,12.6,,,,0
화포천,2019,3,3회차,7.8,4.3,7.6,,,10.3,,,,0
양산천3,2019,3,3회차,7.3,2.7,7.2,,,9.9,,,,0
단장천2,2019,3,1회차,7.2,0.7,2.5,1.5,,12.3,,,,1
풍산천,2019,3,1회차,7.6,0.7,3.8,3.0,,13.7,,,,1
병보천,2019,3,2회차,7.7,0.3,3.0,2.0,,12.4,,,,1
병보천,2019,3,3회차,7.4,0.3,3.0,2.7,,11.8,,,,1
용전천3,2019,3,1회차,8.1,1.5,3.9,3.2,,11.8,,,,1
신천3,2019,3,2회차,7.4,10.4,14.0,7.7,,10.5,,,,0
주진천,2019,3,1회차,8.8,2.5,6.7,3.1,,11.2,,,,0
C소룡동수로,2019,3,1회차,8.4,6.1,14.1,5.8,,12.1,,,,0
군위댐2,2019,3,15,7.3,0.7,4.9,3.9,,13.5,,,,1
C신천-1,2019,3,2회차,7.6,13.7,22.5,7.6,,7.8,,,,0
C만우천,2019,3,1회차,7.0,2.1,22.7,11.8,,8.7,,,,0
C장안천,2019,3,2회차,7.8,13.0,19.1,6.1,,8.3,,,,0
안성천3,2019,3,4회차,7.8,5.3,10.6,5.0,,10.4,,,,0
소양강댐1,2019,3,11,7.5,1.4,2.1,1.8,,10.2,,,,1
안동댐1,2019,3,13,7.5,1.4,2.9,2.5,,9.4,,,,1
연초댐2,2019,3,13,7.1,1.7,4.0,2.4,,11.7,,,,1
주암조정지댐3,2019,3,11,7.7,0.8,2.4,1.3,,11.0,,,,1
보령댐1,2019,3,11,7.9,2.3,3.8,1.3,,11.8,,,,0
용담댐3,2019,3,11,7.2,1.4,3.0,1.7,,11.1,,,,1
경안천2A,2020,2,1회차,7.7,2.2,4.5,3.4,,12.1,,,,0
곡수천-1,2020,2,3회차,7.8,1.8,3.2,2.0,,11.2,,,,1
사탄천,2020,2,3회차,7.8,2.4,4.2,2.6,,11.1,,,,0
조종천2-1,2020,2,3회차,8.1,1.0,2.0,1.1,,12.8,,,,1
원심천,2020,2,1회차,7.8,0.7,2.8,1.1,,8.8,,,,1
돌산천,2020,2,1회차,7.9,0.4,2.0,1.0,,19.8,,,,1
보성강-1,2020,2,1회차,7.5,1.0,3.2,1.8,,11.9,,,,1
조양강,2020,2,3회차,8.5,0.5,2.4,1.4,,14.0,,,,1
보현산댐,2020,2,11,8.9,0.8,6.8,4.3,,13.1,,,,0
충주댐2,2020,2,11,8.0,1.8,2.2,1.6,,11.6,,,,1
충주댐3,2020,2,15,7.8,1.9,2.2,1.5,,11.0,,,,1
평림댐,2020,2,11,7.5,1.6,4.7,2.2,,12.1,,,,1
평림댐,2020,2,15,7.5,1.4,4.9,2.2,,12.1,,,,1
가천,2020,2,1회차,9.1,0.8,2.7,1.0,,12.9,,,,0
보은천,2020,2,1회차,8.1,1.2,1.7,1.1,,12.9,,,,1
대곡천1,2020,2,1회차,8.1,1.4,2.9,1.8,,12.5,,,,1
대곡천2,2020,2,1회차,8.0,0.7,3.9,2.5,,12.1,,,,1
유치천,2020,2,1회차,6.8,0.8,1.4,1.2,,12.2,,,,1
소양강댐4,2020,2,13,7.2,2.3,2.1,1.3,,13.3,,,,0
안동5,2020,2,2회차,7.6,0.7,4.3,3.5,,14.7,,,,1
내성천5,2020,2,2회차,8.2,0.7,3.6,2.6,,13.4,,,,1
병성천-1,2020,2,1회차,7.7,1.1,3.4,2.4,,13.3,,,,1
상주3,2020,2,1회차,8.1,1.8,4.1,3.2,,14.0,,,,1
구미,2020,2,2회차,8.2,2.6,5.4,4.3,,14.8,,,,0
금호강1A,2020,2,1회차,7.9,0.9,5.2,4.2,,14.5,,,,1
회천2-1,2020,2,2회차,8.0,1.1,2.9,2.1,,13.5,,,,1
평화의댐2,2019,8,11,7.4,0.3,1.0,0.7,,7.5,,,,1
삼봉리,2019,8,1회차,8.6,0.5,3.8,2.2,,8.9,,,,0
삼봉리,2019,8,3회차,7.9,1.7,4.8,2.3,,9.5,,,,1
남강2A,2019,8,1회차,8.3,1.8,5.5,3.6,,8.0,,,,1
밀양강3,2019,8,2회차,7.6,1.0,4.0,2.9,,7.8,,,,1
낙동강하구언1,2019,8,2회차,8.0,2.9,8.5,7.0,,8.0,,,,0
삽교호1,2019,3,11,8.6,3.8,9.3,7.4,,12.7,,,,0
함양위천1,2019,3,1회차,7.8,0.8,3.8,4.8,,12.3,,,,1
한탄강1,2019,3,1회차,8.4,1.8,4.7,1.6,,13.5,,,,1
남천,2019,8,4회차,7.0,0.5,4.9,3.2,,8.2,,,,1
곤지암천-1,2019,8,2회차,7.8,1.1,2.9,2.7,,8.2,,,,1
곤지암천-1,2019,8,3회차,8.4,1.1,3.3,1.3,,9.2,,,,1
팔당댐3,2019,8,45,8.1,1.9,5.1,2.7,,0.7,,,,1
팔당댐4,2019,8,25,8.4,1.3,4.7,2.5,,7.8,,,,1
대성리,2019,8,1회차,8.7,0.5,3.8,2.1,,8.8,,,,0
고막원천1,2019,8,1회차,8.5,4.4,9.9,3.8,,11.2,,,,0
고막원천2,2019,8,1회차,8.0,2.7,9.7,3.9,,8.2,,,,0
보강천1,2020,2,1회차,7.9,1.1,3.4,2.0,,10.5,,,,1
무심천3,2020,2,4회차,8.2,2.0,5.0,2.4,,13.7,,,,1
병천천A,2020,2,2회차,7.5,1.3,5.8,3.4,,12.6,,,,1
장성천1,2019,3,2회차,8.6,2.3,6.0,4.5,,13.1,,,,0
금천,2019,3,1회차,7.9,1.3,4.1,2.9,,13.2,,,,1
후곡천,2019,3,3회차,7.6,2.7,5.5,3.6,,9.9,,,,0
춘천댐1,2019,3,1회차,9.5,1.4,2.2,1.9,,12.8,,,,0
보강천1,2020,2,3회차,7.8,1.4,4.1,2.5,,14.3,,,,1
성암천,2020,2,1회차,8.0,2.2,4.9,2.7,,11.5,,,,0
성암천,2020,2,3회차,7.8,1.8,3.8,2.3,,14.9,,,,1
무심천,2020,2,4회차,8.1,1.7,4.0,2.2,,13.1,,,,1
병천천A,2020,2,1회차,7.5,1.1,5.0,2.9,,14.8,,,,1
미호천5A,2020,2,3회차,7.6,2.7,7.8,4.2,,12.5,,,,0
조천1,2020,2,2회차,7.5,6.5,7.9,6.8,,10.5,,,,0
연기,2020,2,1회차,7.8,1.9,6.3,4.2,,13.6,,,,1
용수천-1,2020,2,2회차,7.9,1.1,3.5,2.1,,11.4,,,,1
공주1,2020,2,2회차,7.6,1.3,6.3,3.9,,14.0,,,,1
공주1,2020,2,4회차,7.5,2.4,6.8,3.6,,13.6,,,,0
금강,2020,2,4회차,8.1,2.2,7.5,3.5,,12.4,,,,0
동진강3,2020,2,1회차,7.8,1.8,5.2,3.7,,13.6,,,,1
고부천3,2020,2,1회차,7.8,2.9,8.3,6.1,,13.9,,,,0
고부천3,2020,2,2회차,7.7,2.0,8.2,4.5,,14.3,,,,1
문산천3,2020,2,3회차,7.8,4.8,5.4,3.3,,13.7,,,,0
화천댐1,2019,3,13,7.7,0.4,4.4,1.8,,12.5,,,,1
화천댐3,2019,3,31,7.9,0.3,2.1,1.6,,12.5,,,,1
단성,2020,2,3회차,8.3,0.3,2.1,1.2,,12.3,,,,1
경안천5A,2020,2,4회차,7.5,1.6,4.5,2.6,,12.0,,,,1
유치천-1,2020,2,1회차,8.0,0.5,2.1,0.7,,13.0,,,,1
곤양천,2020,2,1회차,7.9,1.1,3.6,1.8,,11.9,,,,1
진전천,2020,2,1회차,7.9,0.8,1.7,1.2,,11.7,,,,1
용산천,2020,2,2회차,6.6,0.8,2.4,1.0,,14.5,,,,1
진원천,2020,2,4회차,6.7,0.7,2.5,1.2,,13.3,,,,1
무안천,2020,2,1회차,7.6,3.4,8.7,5.3,,12.8,,,,0
오수천-1,2020,2,1회차,7.5,0.6,2.7,0.8,,14.5,,,,1
C고사동수로,2020,2,1회차,7.5,2.7,15.4,9.5,,6.6,,,,0
C산암리수로,2020,2,1회차,7.7,4.1,8.6,4.9,,8.2,,,,0
C장림유수지,2020,2,1회차,7.5,30.0,33.0,9.1,,9.5,,,,0
C장림유수지,2020,2,2회차,7.8,13.8,15.5,7.6,,12.2,,,,0
C봉암동수로,2020,2,2회차,6.7,9.8,6.9,4.1,,9.4,,,,0
거창동천1,2020,2,1회차,7.6,0.7,4.2,2.2,,12.0,,,,1
구포,2020,2,4회차,8.8,2.8,6.3,2.8,,13.0,,,,0
정읍천4,2019,3,3회차,7.8,3.6,10.0,6.4,,11.4,,,,0
고부천3,2019,3,3회차,8.2,2.8,8.0,4.4,,10.1,,,,0
회야강3,2020,2,1회차,7.9,1.6,5.5,2.5,,11.4,,,,1
회야호2,2020,2,1회차,7.7,0.8,4.6,2.5,,11.3,,,,1
구량천,2020,2,3회차,8.3,0.6,2.8,1.5,,15.9,,,,1
정자천,2020,2,1회차,8.0,0.4,2.1,1.0,,15.5,,,,1
정자천,2020,2,3회차,8.2,0.5,2.4,1.2,,15.4,,,,1
용담,2020,2,3회차,7.9,1.1,4.6,2.5,,14.0,,,,1
무주남대천-2,2020,2,4회차,7.5,0.6,3.5,1.8,,14.6,,,,1
초강2,2020,2,2회차,8.1,0.6,3.2,1.6,,14.5,,,,1
초강2,2020,2,3회차,8.0,1.4,3.9,2.3,,13.8,,,,1
이원,2020,2,4회차,7.8,1.5,5.4,2.6,,11.8,,,,1
보청천3,2020,2,3회차,7.9,1.2,3.7,2.3,,14.0,,,,1
갑천5-1,2020,2,3회차,7.4,3.0,9.1,5.0,,10.3,,,,0
광주2-1,2019,3,2회차,6.8,11.3,16.6,7.8,,6.8,,,,0
길안천1,2020,2,1회차,8.5,1.5,3.8,1.8,,13.4,,,,1
세종1,2020,2,3회차,7.4,2.1,6.3,3.3,,12.9,,,,0
소양강댐2,2020,2,15,6.9,1.4,2.4,1.5,,10.4,,,,1
대청댐4,2020,2,11,7.4,1.4,2.7,2.4,,13.6,,,,1
대청댐6,2020,2,11,7.5,1.3,2.6,2.3,,12.2,,,,1
남강댐1,2020,2,15,7.4,1.7,2.1,1.7,,10.5,,,,1
안동3,2020,2,3회차,8.2,0.8,4.8,2.6,,12.9,,,,1
예천-1,2020,2,4회차,8.5,0.5,4.8,,,12.6,,,,1
대가천3,2019,3,2회차,6.9,1.3,3.8,2.6,,12.1,,,,1
군외천,2019,3,1회차,7.5,0.3,2.7,1.7,,12.2,,,,1
영평천3,2019,3,2회차,7.6,2.6,9.3,4.5,,11.6,,,,0
달방천,2019,3,1회차,7.8,0.4,2.2,1.0,,15.6,,,,1
반변천1,2019,3,1회차,8.9,1.1,2.9,2.0,,11.3,,,,0
반변천2,2019,3,1회차,8.3,1.0,3.7,3.5,,10.8,,,,1
영암천,2019,3,3회차,7.6,1.8,5.7,4.6,,11.4,,,,1
삼산천,2020,2,3회차,7.0,0.7,2.9,1.3,,9.9,,,,1
영암천1,2020,2,1회차,7.5,1.7,6.6,2.9,,17.2,,,,1
회천2,2020,2,1회차,8.2,1.2,4.0,2.0,,11.4,,,,1
금호강2,2020,2,1회차,8.2,0.5,4.4,3.3,,12.6,,,,1
C성암동수로,2020,2,1회차,7.7,1.7,7.4,4.4,,8.4,,,,1
정자천,2020,2,4회차,7.7,0.4,2.3,1.0,,13.2,,,,1
함평천2,2019,8,1회차,8.1,1.9,8.0,3.9,,6.6,,,,1
대촌천,2019,3,1회차,7.8,3.0,5.7,4.9,,13.5,,,,0
장성천1,2019,3,1회차,7.9,1.4,4.0,3.0,,15.1,,,,1
장성천1,2019,3,4회차,7.1,2.3,4.5,2.8,,12.8,,,,0
금천,2019,3,2회차,7.7,1.1,4.9,3.5,,11.6,,,,1
금천,2019,3,3회차,7.6,1.5,4.2,3.2,,10.7,,,,1
