PT_NM,WMYR,WMOD,WMWK,ITEM_PH,ITEM_BOD,ITEM_COD,ITEM_TOC,ITEM_SS,ITEM_DOC,ITEM_TP,ITEM_TCOLI,ITEM_ECOLI,drink
신반천,2022,5,1회차,7.7,1.8,5.4,3.5,,9.2,,,,1
내성천5,2022,5,2회차,7.7,1.3,5.4,3.9,,9.3,,,,1
감천1A,2022,5,1회차,8.6,1.2,4.6,2.4,,9.5,,,,0
구미,2022,5,2회차,8.1,1.0,4.8,3.1,,8.2,,,,1
황강1,2022,5,2회차,7.1,1.5,4.6,2.9,,8.2,,,,1
밀양강3,2022,5,3회차,8.1,2.9,6.0,3.9,,8.6,,,,0
곡정천,2022,5,1회차,8.4,1.5,9.3,6.3,,13.0,,,,1
봉곡천,2022,5,2회차,8.0,4.5,6.7,4.9,,11.0,,,,0
식지천,2022,5,3회차,6.5,3.8,13.2,7.9,,9.6,,,,0
구산천,2022,5,1회차,6.5,1.0,3.2,2.0,,11.1,,,,1
경호천,2022,5,3회차,7.6,1.1,6.4,4.1,,8.6,,,,1
청통천,2022,5,3회차,7.2,7.0,16.2,11.1,,8.5,,,,0
덕은리,2022,5,5회차,8.1,0.9,2.6,,,11.4,,,,1
영랑호,2022,5,1회차,8.4,1.7,2.8,1.7,,7.6,,,,1
춘천댐2,2022,5,11,8.7,1.7,2.9,2.1,,10.0,,,,0
춘천댐2,2022,5,13,8.8,2.1,2.8,2.0,,11.7,,,,0
충주댐,2022,5,5회차,8.1,1.0,2.1,1.5,,10.8,,,,1
포남,2022,5,1회차,7.3,2.4,3.3,3.6,,10.4,,,,0
화천댐3,2022,5,11,8.2,1.1,2.3,1.2,,10.4,,,,1
감전천2,2022,5,1회차,9.0,11.7,26.6,16.4,,17.0,,,,0
C신천-1,2022,5,2회차,7.9,4.5,18.5,9.4,,7.9,,,,0
한탄강3,2022,5,1회차,9.1,1.7,7.1,5.1,,10.7,,,,0
남이섬,2022,5,1회차,8.3,0.6,2.8,1.5,,10.7,,,,1
안동1,2022,5,4회차,7.8,0.4,5.8,2.2,,10.6,,,,1
상주1,2022,5,2회차,7.9,2.1,6.4,2.5,,9.3,,,,0
고령,2022,5,1회차,8.1,1.8,5.7,3.6,,10.1,,,,1
내성천1,2022,5,1회차,7.9,0.8,5.5,2.0,,9.7,,,,1
경천지1,2022,5,13,8.5,0.8,4.0,1.6,,9.6,,,,1
대아지1,2022,5,11,7.9,0.9,3.1,1.2,,9.3,,,,1
대아지3,2022,5,13,7.8,0.9,2.3,1.1,,10.4,,,,1
C소룡동수로,2022,5,2회차,9.2,3.8,13.5,7.4,,11.0,,,,0
C남수천,2022,5,1회차,8.2,1.5,8.3,6.4,,12.5,,,,1
소양강댐4,2020,4,13,7.5,1.5,1.6,1.2,,11.0,,,,1
안동댐2,2020,4,11,7.5,0.9,3.4,2.8,,10.8,,,,1
안동댐3,2020,4,11,7.5,0.8,3.6,3.0,,10.7,,,,1
대청댐5,2020,4,15,7.6,0.9,1.8,1.9,,11.3,,,,1
합천댐2,2020,4,15,8.6,1.1,2.4,2.2,,6.9,,,,0
주암조정지댐1,2020,4,11,7.7,1.1,2.5,1.4,,12.1,,,,1
진전천,2022,5,1회차,6.0,0.4,1.5,0.6,,5.1,,,,0
청미천2,2022,5,1회차,8.0,8.0,11.3,8.9,,9.9,,,,0
이사천2,2022,5,1회차,7.6,0.6,3.3,1.9,,10.2,,,,1
가창댐2,2022,5,11,7.4,1.3,3.6,1.6,,10.5,,,,1
동복천1,2022,5,1회차,7.2,1.6,3.5,2.1,,11.2,,,,1
탐진강3,2022,5,2회차,7.0,3.8,6.7,4.7,,6.1,,,,0
이안천,2020,5,1회차,7.6,2.2,6.0,4.6,,10.3,,,,0
병성천-1,2020,5,2회차,7.9,3.0,8.2,6.8,,9.0,,,,0
위천6,2020,5,2회차,7.7,3.1,7.5,6.3,,9.4,,,,0
물금,2020,5,4회차,7.7,1.7,5.3,4.2,,9.6,,,,1
낙동강하구언1,2020,5,3회차,7.5,1.7,5.0,4.1,,8.2,,,,1
부안댐2,2020,4,13,6.8,1.4,3.0,1.8,,10.7,,,,1
횡성댐1,2020,4,11,8.6,1.9,2.3,2.1,,10.9,,,,0
전주천6,2020,4,4회차,7.4,4.8,9.6,7.8,,10.0,,,,0
정읍천4,2020,4,3회차,7.3,8.6,11.4,6.2,,8.4,,,,0
이원,2020,4,2회차,8.4,1.2,4.6,2.7,,10.3,,,,1
대청댐,2020,4,4회차,7.7,0.9,4.5,2.4,,10.4,,,,1
팔거천1,2020,5,2회차,9.0,1.8,5.5,4.5,,13.1,,,,0
석교천,2020,5,1회차,8.4,5.1,11.1,7.4,,11.9,,,,0
순천동천3,2020,5,1회차,7.3,7.3,14.4,4.5,,8.0,,,,0
영암호2,2020,5,13,7.8,0.8,5.4,3.7,,9.3,,,,1
영암호2,2020,5,15,7.7,0.8,6.1,4.3,,9.6,,,,1
구례,2020,5,3회차,7.9,1.0,5.6,3.4,,8.8,,,,1
금호호1,2020,5,13,7.9,0.9,6.5,4.4,,8.9,,,,1
담양,2020,5,1회차,7.5,4.9,9.7,4.6,,8.1,,,,0
담양댐1,2020,5,13,7.3,0.8,2.4,1.8,,11.9,,,,1
보성강댐1,2020,5,11,7.6,2.3,6.9,3.6,,9.9,,,,0
소호천,2020,5,4회차,7.7,0.3,1.6,0.9,,8.5,,,,1
신령천,2020,5,3회차,8.1,2.7,6.8,5.5,,9.5,,,,0
안양천1A,2020,4,2회차,7.4,3.1,8.2,3.8,,8.5,,,,0
학의천,2020,4,1회차,7.6,1.2,6.1,3.4,,8.8,,,,1
목감천-1,2020,4,2회차,8.5,2.2,7.3,3.5,,13.4,,,,0
벽계천-1,2020,4,3회차,8.6,1.0,1.6,1.3,,10.4,,,,0
왕숙천-1,2020,4,3회차,8.3,1.4,3.4,1.7,,10.8,,,,1
중랑천-1,2020,4,4회차,8.1,0.9,4.2,2.3,,10.7,,,,1
경안천4A,2020,4,3회차,8.8,2.3,4.9,2.5,,12.0,,,,0
신반천,2020,5,2회차,8.0,2.0,4.0,3.4,,9.2,,,,1
계성천,2020,5,2회차,7.4,3.0,8.0,6.6,,7.6,,,,0
남강,2020,5,1회차,7.8,1.3,3.2,2.0,,9.6,,,,1
밀양강A,2020,5,1회차,8.2,1.5,5.0,3.0,,10.2,,,,1
영천강-1,2020,5,4회차,7.5,2.3,5.9,3.6,,10.1,,,,0
유동천,2020,5,1회차,8.2,1.2,2.7,1.6,,9.8,,,,1
대관대천,2020,5,1회차,7.3,1.5,1.9,1.2,,8.3,,,,1
오봉천,2020,5,3회차,7.7,0.4,1.6,0.9,,10.0,,,,1
임천,2020,5,3회차,7.5,1.4,4.3,2.7,,10.4,,,,1
양천-1,2020,5,2회차,7.8,1.8,6.7,5.3,,8.9,,,,1
논산천-1,2020,5,1회차,8.6,1.3,3.8,8.1,,12.9,,,,0
연산천,2020,5,4회차,7.4,0.9,4.8,2.3,,10.6,,,,1
